,0,1
157,exponential_glcm_Idn,0
158,exponential_glcm_InverseVariance,0
159,exponential_glcm_MaximumProbability,0
160,exponential_glcm_SumEntropy,0
161,exponential_glcm_SumSquares,0
162,exponential_glrlm_GrayLevelNonUniformity,0
163,exponential_glrlm_GrayLevelNonUniformityNormalized,0
164,exponential_glrlm_GrayLevelVariance,0
165,exponential_glrlm_HighGrayLevelRunEmphasis,0
166,exponential_glrlm_LongRunEmphasis,0
167,exponential_glrlm_LongRunHighGrayLevelEmphasis,0
168,exponential_glrlm_LongRunLowGrayLevelEmphasis,0
169,exponential_glrlm_LowGrayLevelRunEmphasis,0
170,exponential_glrlm_RunEntropy,0
171,exponential_glrlm_RunLengthNonUniformity,0
172,exponential_glrlm_RunLengthNonUniformityNormalized,0
173,exponential_glrlm_RunPercentage,0
174,exponential_glrlm_RunVariance,0
175,exponential_glrlm_ShortRunEmphasis,0
176,exponential_glrlm_ShortRunHighGrayLevelEmphasis,0
177,exponential_glrlm_ShortRunLowGrayLevelEmphasis,0
178,exponential_glszm_GrayLevelNonUniformity,0
179,exponential_glszm_GrayLevelNonUniformityNormalized,0
180,exponential_glszm_GrayLevelVariance,0
181,exponential_glszm_HighGrayLevelZoneEmphasis,0
182,exponential_glszm_LargeAreaEmphasis,0
183,exponential_glszm_LargeAreaHighGrayLevelEmphasis,0
184,exponential_glszm_LargeAreaLowGrayLevelEmphasis,0
185,exponential_glszm_LowGrayLevelZoneEmphasis,0
186,exponential_glszm_SizeZoneNonUniformity,0
187,exponential_glszm_SizeZoneNonUniformityNormalized,0
188,exponential_glszm_SmallAreaEmphasis,0
189,exponential_glszm_SmallAreaHighGrayLevelEmphasis,0
190,exponential_glszm_SmallAreaLowGrayLevelEmphasis,0
191,exponential_glszm_ZoneEntropy,0
192,exponential_glszm_ZonePercentage,0
193,exponential_glszm_ZoneVariance,0
194,exponential_gldm_DependenceEntropy,0
195,exponential_gldm_DependenceNonUniformity,0
196,exponential_gldm_DependenceNonUniformityNormalized,0
197,exponential_gldm_DependenceVariance,0
198,exponential_gldm_GrayLevelNonUniformity,0
199,exponential_gldm_GrayLevelVariance,0
200,exponential_gldm_HighGrayLevelEmphasis,0
201,exponential_gldm_LargeDependenceEmphasis,0
202,exponential_gldm_LargeDependenceHighGrayLevelEmphasis,0
203,exponential_gldm_LargeDependenceLowGrayLevelEmphasis,0
204,exponential_gldm_LowGrayLevelEmphasis,0
205,exponential_gldm_SmallDependenceEmphasis,0
206,exponential_gldm_SmallDependenceHighGrayLevelEmphasis,0
207,exponential_gldm_SmallDependenceLowGrayLevelEmphasis,0
208,gradient_firstorder_10Percentile,0
209,gradient_firstorder_90Percentile,0
210,gradient_firstorder_Energy,0
211,gradient_firstorder_Entropy,0
212,gradient_firstorder_InterquartileRange,0
213,gradient_firstorder_Kurtosis,0
214,gradient_firstorder_Maximum,0
215,gradient_firstorder_MeanAbsoluteDeviation,0
216,gradient_firstorder_Mean,0
217,gradient_firstorder_Median,0
218,gradient_firstorder_Minimum,0
219,gradient_firstorder_Range,0
220,gradient_firstorder_RobustMeanAbsoluteDeviation,0
221,gradient_firstorder_RootMeanSquared,0
222,gradient_firstorder_Skewness,0
223,gradient_firstorder_TotalEnergy,0
224,gradient_firstorder_Uniformity,0
225,gradient_firstorder_Variance,0
226,gradient_glcm_Autocorrelation,0
227,gradient_glcm_JointAverage,0
228,gradient_glcm_ClusterProminence,0
229,gradient_glcm_ClusterShade,0
230,gradient_glcm_ClusterTendency,0
231,gradient_glcm_Contrast,0
232,gradient_glcm_Correlation,0
233,gradient_glcm_DifferenceAverage,0
234,gradient_glcm_DifferenceEntropy,0
235,gradient_glcm_DifferenceVariance,0
236,gradient_glcm_JointEnergy,0
237,gradient_glcm_JointEntropy,0
238,gradient_glcm_Imc1,0
239,gradient_glcm_Imc2,0
240,gradient_glcm_Idm,0
241,gradient_glcm_Idmn,0
242,gradient_glcm_Id,0
243,gradient_glcm_Idn,0
244,gradient_glcm_InverseVariance,0
245,gradient_glcm_MaximumProbability,0
246,gradient_glcm_SumEntropy,0
247,gradient_glcm_SumSquares,0
248,gradient_glrlm_GrayLevelNonUniformity,0
249,gradient_glrlm_GrayLevelNonUniformityNormalized,0
250,gradient_glrlm_GrayLevelVariance,0
251,gradient_glrlm_HighGrayLevelRunEmphasis,0
252,gradient_glrlm_LongRunEmphasis,0
253,gradient_glrlm_LongRunHighGrayLevelEmphasis,0
254,gradient_glrlm_LongRunLowGrayLevelEmphasis,0
255,gradient_glrlm_LowGrayLevelRunEmphasis,0
256,gradient_glrlm_RunEntropy,0
257,gradient_glrlm_RunLengthNonUniformity,0
258,gradient_glrlm_RunLengthNonUniformityNormalized,0
259,gradient_glrlm_RunPercentage,0
260,gradient_glrlm_RunVariance,0
261,gradient_glrlm_ShortRunEmphasis,0
262,gradient_glrlm_ShortRunHighGrayLevelEmphasis,0
263,gradient_glrlm_ShortRunLowGrayLevelEmphasis,0
264,gradient_glszm_GrayLevelNonUniformity,0
265,gradient_glszm_GrayLevelNonUniformityNormalized,0
266,gradient_glszm_GrayLevelVariance,0
267,gradient_glszm_HighGrayLevelZoneEmphasis,0
268,gradient_glszm_LargeAreaEmphasis,0
269,gradient_glszm_LargeAreaHighGrayLevelEmphasis,0
270,gradient_glszm_LargeAreaLowGrayLevelEmphasis,0
271,gradient_glszm_LowGrayLevelZoneEmphasis,0
272,gradient_glszm_SizeZoneNonUniformity,0
273,gradient_glszm_SizeZoneNonUniformityNormalized,0
274,gradient_glszm_SmallAreaEmphasis,0
275,gradient_glszm_SmallAreaHighGrayLevelEmphasis,0
276,gradient_glszm_SmallAreaLowGrayLevelEmphasis,0
277,gradient_glszm_ZoneEntropy,0
278,gradient_glszm_ZonePercentage,0
279,gradient_glszm_ZoneVariance,0
280,gradient_gldm_DependenceEntropy,0
281,gradient_gldm_DependenceNonUniformity,0
